"","x","y"
"924",-58.51609847,-34.63470219
"935",-58.51609992,-34.63695574
"946",-58.51610136,-34.63920928
"957",-58.51610281,-34.64146282
"968",-58.51610425,-34.64371636
"979",-58.5161057,-34.6459699
"990",-58.51610714,-34.64822343
"1002",-58.51610859,-34.65047697
"1013",-58.51611003,-34.6527305
"1024",-58.51611148,-34.65498404
"1035",-58.51611292,-34.65723757
"1046",-58.51611437,-34.65949111
"1057",-58.51611582,-34.66174464
"1068",-58.51611726,-34.66399817
"1079",-58.51370219,-34.5772376
"1090",-58.51370357,-34.57949116
"1101",-58.51370495,-34.58174472
"1114",-58.51370632,-34.58399829
"1125",-58.5137077,-34.58625185
"1136",-58.51370907,-34.58850541
"1147",-58.51371045,-34.59075897
"1158",-58.51371183,-34.59301252
"1169",-58.51371321,-34.59526608
"1180",-58.51371459,-34.59751964
"1191",-58.51371596,-34.5997732
"1202",-58.51371734,-34.60202675
"1213",-58.51371872,-34.6042803
"1225",-58.5137201,-34.60653386
"1236",-58.51372148,-34.60878741
"1247",-58.51372286,-34.61104096
"1258",-58.51372423,-34.61329451
"1269",-58.51372561,-34.61554806
"1280",-58.51372699,-34.61780161
"1291",-58.51372837,-34.62005516
"1302",-58.51372975,-34.62230871
"1313",-58.51373113,-34.62456225
"1324",-58.51373251,-34.6268158
"1336",-58.51373389,-34.62906934
"1347",-58.51373526,-34.63132289
"1358",-58.51373665,-34.63357643
"1369",-58.51373803,-34.63582997
"1380",-58.51373941,-34.63808352
"1391",-58.51374079,-34.64033706
"1402",-58.51374217,-34.6425906
"1413",-58.51374355,-34.64484413
"1424",-58.51374493,-34.64709767
"1435",-58.51374632,-34.64935121
"1447",-58.5137477,-34.65160475
"1458",-58.51374908,-34.65385828
"1469",-58.51375046,-34.65611182
"1480",-58.51375184,-34.65836535
"1491",-58.51375322,-34.66061889
"1502",-58.5137546,-34.66287242
"1513",-58.51375599,-34.66512595
"1524",-58.5113394,-34.57160465
"1535",-58.51134072,-34.57385822
"1546",-58.51134203,-34.57611178
"1558",-58.51134334,-34.57836534
"1569",-58.51134465,-34.58061891
"1580",-58.51134597,-34.58287247
"1591",-58.51134728,-34.58512603
"1602",-58.51134859,-34.58737959
"1613",-58.51134991,-34.58963315
