"","x","y"
"3200",-58.48774185,-34.55809036
"3201",-58.48774252,-34.56034393
"3202",-58.4877432,-34.5625975
"3203",-58.48774387,-34.56485107
"3204",-58.48774455,-34.56710464
"3205",-58.48774522,-34.56935821
"3206",-58.4877459,-34.57161177
"3208",-58.48774658,-34.57386534
"3209",-58.48774725,-34.5761189
"3210",-58.48774793,-34.57837247
"3211",-58.4877486,-34.58062603
"3212",-58.48774928,-34.58287959
"3213",-58.48774996,-34.58513316
"3214",-58.48775063,-34.58738672
"3215",-58.48775131,-34.58964028
"3216",-58.48775199,-34.59189384
"3217",-58.48775266,-34.59414739
"3220",-58.48775334,-34.59640095
"3221",-58.48775401,-34.59865451
"3222",-58.48775469,-34.60090807
"3223",-58.48775537,-34.60316162
"3224",-58.48775604,-34.60541518
"3225",-58.48775672,-34.60766873
"3226",-58.4877574,-34.60992228
"3227",-58.48775808,-34.61217584
"3228",-58.48775876,-34.61442939
"3229",-58.48775943,-34.61668294
"3231",-58.48776011,-34.61893649
"3232",-58.48776078,-34.62119003
"3233",-58.48776146,-34.62344358
"3234",-58.48776214,-34.62569713
"3235",-58.48776281,-34.62795068
"3236",-58.4877635,-34.63020422
"3237",-58.48776417,-34.63245776
"3238",-58.48776485,-34.63471131
"3239",-58.48776553,-34.63696485
"3240",-58.48776621,-34.63921839
"3242",-58.48776688,-34.64147193
"3243",-58.48776756,-34.64372547
"3244",-58.48776824,-34.64597901
"3245",-58.48776891,-34.64823255
"3246",-58.4877696,-34.65048609
"3247",-58.48777028,-34.65273962
"3248",-58.48777095,-34.65499316
"3249",-58.48777164,-34.6572467
"3250",-58.48777231,-34.65950023
"3251",-58.48777299,-34.66175376
"3253",-58.48777367,-34.6640073
"3254",-58.48777435,-34.66626083
"3255",-58.48777503,-34.66851436
"3256",-58.48777571,-34.67076789
"3257",-58.48777639,-34.67302142
"3258",-58.48777706,-34.67527495
"3259",-58.48777774,-34.67752847
"3260",-58.48777842,-34.679782
"3261",-58.4877791,-34.68203553
"3262",-58.48777978,-34.68428905
"3264",-58.48778046,-34.68654258
"3265",-58.4853789,-34.54344259
"3266",-58.48537951,-34.54569617
"3267",-58.48538013,-34.54794974
"3268",-58.48538073,-34.55020331
"3269",-58.48538135,-34.55245689
"3270",-58.48538196,-34.55471046
"3271",-58.48538257,-34.55696403
"3272",-58.48538318,-34.5592176
"3273",-58.48538379,-34.56147118
"3275",-58.48538441,-34.56372474
"3276",-58.48538502,-34.56597831
"3277",-58.48538563,-34.56823188
"3278",-58.48538624,-34.57048545
"3279",-58.48538686,-34.57273902
"3280",-58.48538747,-34.57499258
"3281",-58.48538808,-34.57724615
"3282",-58.48538869,-34.57949971
"3283",-58.4853893,-34.58175328
"3284",-58.48538992,-34.58400684
"3286",-58.48539053,-34.5862604
"3287",-58.48539114,-34.58851396
"3288",-58.48539176,-34.59076752
"3289",-58.48539237,-34.59302108
"3290",-58.48539298,-34.59527464
"3291",-58.48539359,-34.59752819
"3292",-58.48539421,-34.59978175
"3293",-58.48539482,-34.60203531
"3294",-58.48539543,-34.60428886
"3295",-58.48539604,-34.60654241
"3297",-58.48539666,-34.60879597
"3298",-58.48539727,-34.61104952
"3299",-58.48539789,-34.61330307
"3300",-58.4853985,-34.61555662
"3301",-58.48539911,-34.61781017
"3302",-58.48539972,-34.62006372
"3303",-58.48540034,-34.62231727
"3304",-58.48540095,-34.62457082
"3305",-58.48540157,-34.62682436
"3306",-58.48540218,-34.62907791
"3308",-58.4854028,-34.63133145
"3309",-58.48540341,-34.633585
"3310",-58.48540402,-34.63583854
"3311",-58.48540464,-34.63809208
"3312",-58.48540525,-34.64034563
"3313",-58.48540586,-34.64259917
"3314",-58.48540648,-34.64485271
"3315",-58.48540709,-34.64710624
"3316",-58.48540771,-34.64935978
"3317",-58.48540832,-34.65161332
"3319",-58.48540893,-34.65386685
"3320",-58.48540956,-34.65612039
"3321",-58.48541016,-34.65837392
"3322",-58.48541078,-34.66062746
"3323",-58.4854114,-34.66288099
"3324",-58.48541201,-34.66513452
"3325",-58.48541262,-34.66738805
"3326",-58.48541324,-34.66964159
"3327",-58.48541386,-34.67189512
"3328",-58.48541447,-34.67414865
"3331",-58.48541509,-34.67640217
"3332",-58.4854157,-34.6786557
"3333",-58.48541632,-34.68090923
"3334",-58.48541693,-34.68316275
"3335",-58.48541755,-34.68541628
"3336",-58.48541816,-34.6876698
"3337",-58.48302007,-34.54231621
"3338",-58.48302062,-34.54456979
"3339",-58.48302117,-34.54682337
"3340",-58.48302172,-34.54907694
"3342",-58.48302227,-34.55133052
"3343",-58.48302281,-34.55358409
"3344",-58.48302336,-34.55583767
"3345",-58.48302391,-34.55809124
"3346",-58.48302446,-34.56034481
"3347",-58.48302501,-34.56259838
"3348",-58.48302555,-34.56485195
"3349",-58.4830261,-34.56710552
"3350",-58.48302665,-34.56935909
"3351",-58.4830272,-34.57161265
"3353",-58.48302775,-34.57386622
"3354",-58.4830283,-34.57611978
"3355",-58.48302884,-34.57837335
"3356",-58.48302939,-34.58062691
"3357",-58.48302994,-34.58288047
"3358",-58.48303049,-34.58513403
"3359",-58.48303104,-34.58738759
"3360",-58.48303159,-34.58964115
"3361",-58.48303324,-34.59640183
"3362",-58.48303378,-34.59865539
"3364",-58.48303433,-34.60090894
"3365",-58.48303488,-34.6031625
"3366",-58.48303543,-34.60541605
"3367",-58.48303598,-34.60766961
"3368",-58.48303653,-34.60992316
"3369",-58.48303708,-34.61217671
"3370",-58.48303763,-34.61443026
"3371",-58.48303818,-34.61668382
"3372",-58.48303873,-34.61893736
"3373",-58.48303928,-34.62119091
"3375",-58.48303983,-34.62344446
"3376",-58.48304038,-34.62569801
"3377",-58.48304093,-34.62795155
"3378",-58.48304148,-34.6302051
"3379",-58.48304203,-34.63245864
"3380",-58.48304258,-34.63471218
"3381",-58.48304313,-34.63696573
"3382",-58.48304368,-34.63921927
"3383",-58.48304423,-34.64147281
"3384",-58.48304478,-34.64372635
"3386",-58.48304533,-34.64597989
"3387",-58.48304588,-34.64823343
"3388",-58.48304643,-34.65048696
"3389",-58.48304698,-34.6527405
"3390",-58.48304753,-34.65499404
"3391",-58.48304809,-34.65724757
"3392",-58.48304863,-34.65950111
"3393",-58.48304919,-34.66175464
"3394",-58.48304974,-34.66400818
"3395",-58.48305029,-34.66626171
"3397",-58.48305084,-34.66851524
"3398",-58.48305139,-34.67076877
"3399",-58.48305194,-34.6730223
"3400",-58.48305249,-34.67527583
"3401",-58.48305304,-34.67752935
"3402",-58.4830536,-34.67978288
"3403",-58.48305415,-34.68203641
"3404",-58.4830547,-34.68428993
"3405",-58.48305525,-34.68654345
"3406",-58.4830558,-34.68879698
"3408",-58.48066131,-34.5411898
"3409",-58.48066179,-34.54344337
"3410",-58.48066228,-34.54569695
"3411",-58.48066276,-34.54795052
"3412",-58.48066325,-34.5502041
"3413",-58.48066373,-34.55245767
"3414",-58.48066421,-34.55471125
"3415",-58.4806647,-34.55696482
"3416",-58.48066518,-34.55921839
"3417",-58.48066567,-34.56147196
"3419",-58.48066615,-34.56372553
"3420",-58.48066664,-34.5659791
"3421",-58.48066712,-34.56823267
"3422",-58.48066761,-34.57048624
"3423",-58.48066809,-34.5727398
"3424",-58.48066857,-34.57499337
"3425",-58.48066906,-34.57724693
"3426",-58.48066955,-34.5795005
"3427",-58.48067003,-34.58175406
"3428",-58.48067052,-34.58400763
"3430",-58.480671,-34.58626119
"3431",-58.48067149,-34.58851475
"3432",-58.48067197,-34.59076831
"3433",-58.48067391,-34.59978254
"3434",-58.4806744,-34.60203609
"3435",-58.48067488,-34.60428965
"3436",-58.48067537,-34.6065432
"3437",-58.48067586,-34.60879675
"3438",-58.48067634,-34.61105031
"3439",-58.48067683,-34.61330386
"4",-58.48067731,-34.61555741
"5",-58.4806778,-34.61781096
"6",-58.48067828,-34.62006451
"7",-58.48067877,-34.62231806
"8",-58.48067926,-34.6245716
"9",-58.48067974,-34.62682515
"10",-58.48068023,-34.6290787
"11",-58.48068071,-34.63133224
"12",-58.4806812,-34.63358578
"13",-58.48068169,-34.63583933
"15",-58.48068217,-34.63809287
"16",-58.48068266,-34.64034641
"17",-58.48068315,-34.64259995
"18",-58.48068363,-34.64485349
"19",-58.48068412,-34.64710703
"20",-58.4806846,-34.64936057
"21",-58.48068509,-34.65161411
"22",-58.48068558,-34.65386765
"23",-58.48068607,-34.65612118
"24",-58.48068655,-34.65837471
"26",-58.48068704,-34.66062825
"27",-58.48068753,-34.66288178
"28",-58.48068801,-34.66513531
"29",-58.4806885,-34.66738884
"30",-58.48068899,-34.66964237
"31",-58.48068948,-34.6718959
"32",-58.48068996,-34.67414943
"33",-58.48069045,-34.67640296
"34",-58.48069093,-34.67865649
"35",-58.48069143,-34.68091002
"37",-58.48069191,-34.68316354
"38",-58.4806924,-34.68541706
"39",-58.48069288,-34.68767059
"40",-58.48069338,-34.68992411
"41",-58.47830261,-34.54006333
"42",-58.47830303,-34.54231691
"43",-58.47830345,-34.54457048
"44",-58.47830387,-34.54682406
"45",-58.47830429,-34.54907764
"46",-58.47830471,-34.55133121
"48",-58.47830513,-34.55358478
"49",-58.47830555,-34.55583836
"50",-58.47830597,-34.55809193
"51",-58.47830639,-34.5603455
"52",-58.47830681,-34.56259907
"53",-58.47830724,-34.56485264
"54",-58.47830766,-34.56710621
"55",-58.47830808,-34.56935978
"56",-58.4783085,-34.57161334
"57",-58.47830892,-34.57386691
"59",-58.47830934,-34.57612048
"60",-58.47830976,-34.57837404
"61",-58.47831018,-34.5806276
"62",-58.47831061,-34.58288117
"63",-58.47831103,-34.58513473
"64",-58.47831145,-34.58738829
"65",-58.47831187,-34.58964185
"66",-58.47831229,-34.59189541
"67",-58.47831313,-34.59640253
"68",-58.47831355,-34.59865608
"70",-58.47831397,-34.60090964
"71",-58.4783144,-34.6031632
"72",-58.47831482,-34.60541675
"73",-58.47831524,-34.6076703
"74",-58.47831566,-34.60992386
"75",-58.47831609,-34.61217741
"76",-58.47831651,-34.61443096
"77",-58.47831693,-34.61668451
"78",-58.47831735,-34.61893806
"79",-58.47831778,-34.62119161
"81",-58.4783182,-34.62344516
"82",-58.47831862,-34.6256987
"83",-58.47831904,-34.62795225
"84",-58.47831946,-34.63020579
"85",-58.47831989,-34.63245934
"86",-58.47832031,-34.63471288
"87",-58.47832073,-34.63696642
"88",-58.47832115,-34.63921997
"89",-58.47832158,-34.64147351
"90",-58.478322,-34.64372705
"92",-58.47832242,-34.64598059
"93",-58.47832285,-34.64823413
"94",-58.47832327,-34.65048766
"95",-58.47832369,-34.6527412
"96",-58.47832411,-34.65499474
"97",-58.47832453,-34.65724827
"98",-58.47832496,-34.65950181
"99",-58.47832538,-34.66175534
"100",-58.4783258,-34.66400887
"101",-58.47832623,-34.66626241
"103",-58.47832665,-34.66851594
"104",-58.47832707,-34.67076947
"105",-58.4783275,-34.673023
"106",-58.47832792,-34.67527652
"107",-58.47832834,-34.67753005
"108",-58.47832876,-34.67978358
"109",-58.47832918,-34.6820371
"110",-58.47832961,-34.68429063
"111",-58.47833004,-34.68654415
"112",-58.47833046,-34.68879768
"115",-58.47833088,-34.6910512
"116",-58.47833131,-34.69330472
"117",-58.47594397,-34.53893682
"118",-58.47594433,-34.5411904
"119",-58.47594468,-34.54344398
"120",-58.47594504,-34.54569755
"121",-58.4759454,-34.54795113
"122",-58.47594575,-34.5502047
"123",-58.47594611,-34.55245828
"124",-58.47594647,-34.55471185
"126",-58.47594683,-34.55696542
"127",-58.47594718,-34.55921899
"128",-58.47594754,-34.56147256
"129",-58.4759479,-34.56372613
"130",-58.47594825,-34.5659797
"131",-58.47594861,-34.56823327
"132",-58.47594897,-34.57048684
"133",-58.47594933,-34.57274041
"134",-58.47594968,-34.57499397
"135",-58.47595004,-34.57724754
"137",-58.4759504,-34.5795011
"138",-58.47595076,-34.58175467
"139",-58.47595111,-34.58400823
"140",-58.47595147,-34.58626179
"141",-58.47595183,-34.58851535
"142",-58.47595219,-34.59076891
"143",-58.47595255,-34.59302247
"144",-58.4759529,-34.59527603
"145",-58.47595326,-34.59752959
"146",-58.47595362,-34.59978314
"148",-58.47595398,-34.6020367
"149",-58.47595433,-34.60429025
"150",-58.47595469,-34.60654381
"151",-58.47595505,-34.60879736
"152",-58.47595541,-34.61105091
"153",-58.47595577,-34.61330446
"154",-58.47595613,-34.61555801
"155",-58.47595648,-34.61781156
"156",-58.47595684,-34.62006511
"157",-58.4759572,-34.62231866
"159",-58.47595756,-34.62457221
"160",-58.47595792,-34.62682576
"161",-58.47595828,-34.6290793
"162",-58.47595864,-34.63133285
"163",-58.47595899,-34.63358639
"164",-58.47595935,-34.63583993
"165",-58.47595971,-34.63809348
"166",-58.47596007,-34.64034702
"167",-58.47596043,-34.64260056
"168",-58.47596079,-34.6448541
"170",-58.47596115,-34.64710764
"171",-58.47596151,-34.64936118
"172",-58.47596186,-34.65161471
"173",-58.47596222,-34.65386825
"174",-58.47596258,-34.65612178
"175",-58.47596294,-34.65837532
"176",-58.4759633,-34.66062885
"177",-58.47596365,-34.66288239
"178",-58.47596402,-34.66513592
"179",-58.47596438,-34.66738945
"181",-58.47596474,-34.66964298
"182",-58.4759651,-34.67189651
"183",-58.47596545,-34.67415004
"184",-58.47596581,-34.67640357
"185",-58.47596617,-34.67865709
"186",-58.47596653,-34.68091062
"187",-58.47596689,-34.68316415
"188",-58.47596725,-34.68541767
"189",-58.47596761,-34.6876712
"190",-58.47596797,-34.68992472
"192",-58.47596833,-34.69217824
"193",-58.47596869,-34.69443176
"194",-58.47358539,-34.53781026
"195",-58.47358569,-34.54006384
"196",-58.47358598,-34.54231742
"197",-58.47358627,-34.544571
"198",-58.47358657,-34.54682457
"199",-58.47358686,-34.54907815
"200",-58.47358715,-34.55133172
"201",-58.47358745,-34.5535853
"203",-58.47358774,-34.55583887
"204",-58.47358803,-34.55809244
"205",-58.47358833,-34.56034601
"206",-58.47358862,-34.56259959
"207",-58.47358891,-34.56485316
"208",-58.47358921,-34.56710672
"209",-58.4735895,-34.56936029
"210",-58.4735898,-34.57161386
"211",-58.47359009,-34.57386742
"212",-58.47359038,-34.57612099
"214",-58.47359068,-34.57837455
"215",-58.47359097,-34.58062812
"216",-58.47359127,-34.58288168
"217",-58.47359156,-34.58513524
"218",-58.47359185,-34.5873888
"219",-58.47359215,-34.58964236
"220",-58.47359244,-34.59189592
"221",-58.47359274,-34.59414948
"222",-58.47359303,-34.59640304
"223",-58.47359332,-34.5986566
"226",-58.47359362,-34.60091015
"227",-58.47359391,-34.60316371
"228",-58.47359421,-34.60541726
"229",-58.4735945,-34.60767082
"230",-58.4735948,-34.60992437
"231",-58.47359509,-34.61217792
"232",-58.47359539,-34.61443147
"233",-58.47359568,-34.61668502
"234",-58.47359598,-34.61893857
"235",-58.47359627,-34.62119212
"237",-58.47359656,-34.62344567
"238",-58.47359686,-34.62569922
"239",-58.47359715,-34.62795276
"240",-58.47359745,-34.63020631
"241",-58.47359774,-34.63245985
"242",-58.47359804,-34.63471339
"243",-58.47359833,-34.63696694
"244",-58.47359862,-34.63922048
"245",-58.47359892,-34.64147402
"246",-58.47359922,-34.64372756
"248",-58.47359951,-34.6459811
"249",-58.47359981,-34.64823464
"250",-58.4736001,-34.65048818
"251",-58.4736004,-34.65274171
"252",-58.47360069,-34.65499525
"253",-58.47360098,-34.65724879
"254",-58.47360128,-34.65950232
"255",-58.47360158,-34.66175585
"256",-58.47360187,-34.66400939
"257",-58.47360217,-34.66626292
"259",-58.47360246,-34.66851645
"260",-58.47360276,-34.67076998
"261",-58.47360305,-34.67302351
"262",-58.47360335,-34.67527704
"263",-58.47360364,-34.67753057
"264",-58.47360394,-34.67978409
"265",-58.47360423,-34.68203762
"266",-58.47360453,-34.68429114
"267",-58.47360482,-34.68654467
"268",-58.47360512,-34.68879819
"270",-58.47360541,-34.69105171
"271",-58.47360571,-34.69330523
"272",-58.473606,-34.69555876
"273",-58.47122688,-34.53668366
"274",-58.47122711,-34.53893724
"275",-58.47122734,-34.54119082
"276",-58.47122757,-34.5434444
"277",-58.4712278,-34.54569797
"278",-58.47122803,-34.54795155
"279",-58.47122826,-34.55020512
"281",-58.47122849,-34.5524587
"282",-58.47122872,-34.55471227
"283",-58.47122895,-34.55696584
"284",-58.47122918,-34.55921941
"285",-58.47122941,-34.56147298
"286",-58.47122964,-34.56372655
"287",-58.47122987,-34.56598012
"288",-58.4712301,-34.56823369
"289",-58.47123033,-34.57048726
"290",-58.47123056,-34.57274083
"292",-58.47123079,-34.57499439
"293",-58.47123102,-34.57724796
"294",-58.47123125,-34.57950152
"295",-58.47123148,-34.58175509
"296",-58.47123171,-34.58400865
"297",-58.47123194,-34.58626221
"298",-58.47123217,-34.58851577
"299",-58.4712324,-34.59076933
"300",-58.47123264,-34.59302289
"301",-58.47123286,-34.59527645
"303",-58.47123309,-34.59753001
"304",-58.47123332,-34.59978356
"305",-58.47123356,-34.60203712
"306",-58.47123379,-34.60429067
"307",-58.47123402,-34.60654423
"308",-58.47123425,-34.60879778
"309",-58.47123448,-34.61105133
"310",-58.47123471,-34.61330488
"311",-58.47123494,-34.61555843
"312",-58.47123517,-34.61781198
"314",-58.4712354,-34.62006553
"315",-58.47123563,-34.62231908
"316",-58.47123586,-34.62457263
"317",-58.47123609,-34.62682618
"318",-58.47123632,-34.62907972
"319",-58.47123655,-34.63133327
"320",-58.47123678,-34.63358681
"321",-58.47123701,-34.63584036
"322",-58.47123725,-34.6380939
"323",-58.47123748,-34.64034744
"325",-58.47123771,-34.64260098
"326",-58.47123794,-34.64485452
"327",-58.47123817,-34.64710806
"328",-58.4712384,-34.6493616
"329",-58.47123863,-34.65161514
"330",-58.47123886,-34.65386867
"331",-58.4712391,-34.65612221
"332",-58.47123933,-34.65837574
"333",-58.47123956,-34.66062927
"334",-58.47123979,-34.66288281
"337",-58.47124002,-34.66513634
"338",-58.47124025,-34.66738987
"339",-58.47124048,-34.6696434
"340",-58.47124071,-34.67189693
"341",-58.47124095,-34.67415046
"342",-58.47124118,-34.67640399
"343",-58.47124141,-34.67865752
"344",-58.47124164,-34.68091104
"345",-58.47124187,-34.68316457
"346",-58.4712421,-34.68541809
"348",-58.47124233,-34.68767162
"349",-58.47124256,-34.68992514
"350",-58.4712428,-34.69217867
"351",-58.47124303,-34.69443219
"352",-58.47124326,-34.69668571
"353",-58.47124349,-34.69893923
"354",-58.46886843,-34.53555701
"355",-58.4688686,-34.53781059
"356",-58.46886876,-34.54006417
"357",-58.46886893,-34.54231775
"359",-58.4688691,-34.54457133
"360",-58.46886926,-34.5468249
"361",-58.46886943,-34.54907848
"362",-58.4688696,-34.55133205
"363",-58.46886976,-34.55358563
"364",-58.46886993,-34.5558392
"365",-58.4688701,-34.55809277
"366",-58.46887026,-34.56034634
"367",-58.46887043,-34.56259992
"368",-58.4688706,-34.56485348
"370",-58.46887076,-34.56710705
"371",-58.46887093,-34.56936062
"372",-58.46887109,-34.57161419
"373",-58.46887126,-34.57386775
"374",-58.46887143,-34.57612132
"375",-58.46887159,-34.57837488
"376",-58.46887176,-34.58062845
"377",-58.46887193,-34.58288201
"378",-58.4688721,-34.58513557
"379",-58.46887226,-34.58738913
"381",-58.46887243,-34.58964269
"382",-58.46887259,-34.59189625
"383",-58.46887276,-34.59414981
"384",-58.46887293,-34.59640337
"385",-58.46887309,-34.59865693
"386",-58.46887326,-34.60091048
"387",-58.46887343,-34.60316404
"388",-58.4688736,-34.60541759
"389",-58.46887376,-34.60767115
"390",-58.46887393,-34.6099247
"392",-58.46887409,-34.61217825
"393",-58.46887426,-34.6144318
"394",-58.46887443,-34.61668536
"395",-58.4688746,-34.6189389
"396",-58.46887476,-34.62119245
"397",-58.46887493,-34.623446
"398",-58.4688751,-34.62569955
"399",-58.46887526,-34.62795309
"400",-58.46887543,-34.63020664
"401",-58.4688756,-34.63246018
"403",-58.46887576,-34.63471373
"404",-58.46887593,-34.63696727
"405",-58.4688761,-34.63922081
"406",-58.46887627,-34.64147435
"407",-58.46887643,-34.64372789
"408",-58.4688766,-34.64598143
"409",-58.46887677,-34.64823497
"410",-58.46887693,-34.65048851
"411",-58.4688771,-34.65274204
"412",-58.46887727,-34.65499558
"414",-58.46887744,-34.65724912
"415",-58.4688776,-34.65950265
"416",-58.46887777,-34.66175619
"417",-58.46887794,-34.66400972
"418",-58.4688781,-34.66626325
"419",-58.46887827,-34.66851678
"420",-58.46887844,-34.67077031
"421",-58.46887861,-34.67302384
"422",-58.46887878,-34.67527737
"423",-58.46887894,-34.6775309
"425",-58.46887911,-34.67978442
"426",-58.46887928,-34.68203795
"427",-58.46887944,-34.68429147
"428",-58.46887961,-34.686545
"429",-58.46887978,-34.68879852
"430",-58.46887995,-34.69105204
"431",-58.46888011,-34.69330557
"432",-58.46888028,-34.69555909
"433",-58.46888045,-34.69781261
"434",-58.46888061,-34.70006613
"436",-58.46651005,-34.53443032
"437",-58.46651015,-34.5366839
"438",-58.46651025,-34.53893748
"439",-58.46651036,-34.54119106
"440",-58.46651046,-34.54344464
"441",-58.46651056,-34.54569821
"442",-58.46651067,-34.54795179
"443",-58.46651077,-34.55020536
"444",-58.46651087,-34.55245893
"445",-58.46651097,-34.55471251
"448",-58.46651108,-34.55696608
"449",-58.46651118,-34.55921965
"450",-58.46651128,-34.56147322
"451",-58.46651139,-34.56372679
"452",-58.46651149,-34.56598036
"453",-58.46651159,-34.56823393
"454",-58.46651169,-34.5704875
"455",-58.46651179,-34.57274107
"456",-58.4665119,-34.57499463
"457",-58.466512,-34.5772482
"459",-58.4665121,-34.57950176
"460",-58.46651221,-34.58175533
"461",-58.46651231,-34.58400889
"462",-58.46651241,-34.58626245
"463",-58.46651252,-34.58851601
"464",-58.46651262,-34.59076957
"465",-58.46651272,-34.59302313
"466",-58.46651282,-34.59527669
"467",-58.46651293,-34.59753025
"468",-58.46651303,-34.5997838
"470",-58.46651313,-34.60203736
"471",-58.46651324,-34.60429091
"472",-58.46651334,-34.60654447
"473",-58.46651344,-34.60879802
"474",-58.46651354,-34.61105157
"475",-58.46651365,-34.61330512
"476",-58.46651375,-34.61555867
"477",-58.46651386,-34.61781222
"478",-58.46651396,-34.62006577
"479",-58.46651406,-34.62231932
"481",-58.46651416,-34.62457287
"482",-58.46651427,-34.62682642
"483",-58.46651437,-34.62907996
"484",-58.46651447,-34.63133351
"485",-58.46651458,-34.63358705
"486",-58.46651468,-34.6358406
"487",-58.46651478,-34.63809414
"488",-58.46651489,-34.64034768
"489",-58.46651499,-34.64260122
"490",-58.46651509,-34.64485476
"492",-58.4665152,-34.6471083
"493",-58.4665153,-34.64936184
"494",-58.4665154,-34.65161537
"495",-58.46651551,-34.65386891
"496",-58.46651561,-34.65612245
"497",-58.46651571,-34.65837598
"498",-58.46651582,-34.66062951
"499",-58.46651592,-34.66288305
"500",-58.46651602,-34.66513658
"501",-58.46651613,-34.66739011
"503",-58.46651623,-34.66964364
"504",-58.46651633,-34.67189717
"505",-58.46651644,-34.6741507
"506",-58.46651654,-34.67640423
"507",-58.46651664,-34.67865776
"508",-58.46651674,-34.68091128
"509",-58.46651685,-34.68316481
"510",-58.46651695,-34.68541833
"511",-58.46651706,-34.68767186
"512",-58.46651716,-34.68992538
"514",-58.46651726,-34.6921789
"515",-58.46651737,-34.69443243
"516",-58.46651747,-34.69668595
"517",-58.46651757,-34.69893947
"518",-58.46651768,-34.70119299
"519",-58.46415177,-34.53555716
"520",-58.46415181,-34.53781074
"521",-58.46415185,-34.54006432
"522",-58.46415188,-34.54231789
"523",-58.46415192,-34.54457147
"525",-58.46415197,-34.54682505
"526",-58.464152,-34.54907862
"527",-58.46415204,-34.5513322
"528",-58.46415208,-34.55358577
"529",-58.46415212,-34.55583935
"530",-58.46415216,-34.55809292
"531",-58.4641522,-34.56034649
"532",-58.46415224,-34.56260006
"533",-58.46415228,-34.56485363
"534",-58.46415232,-34.5671072
"536",-58.46415235,-34.56936077
"537",-58.46415239,-34.57161433
"538",-58.46415243,-34.5738679
"539",-58.46415247,-34.57612146
"540",-58.46415251,-34.57837503
"541",-58.46415255,-34.58062859
"542",-58.46415259,-34.58288216
"543",-58.46415263,-34.58513572
"544",-58.46415267,-34.58738928
"545",-58.46415271,-34.58964284
"547",-58.46415275,-34.5918964
"548",-58.46415279,-34.59414996
"549",-58.46415283,-34.59640352
"550",-58.46415286,-34.59865707
"551",-58.4641529,-34.60091063
"552",-58.46415294,-34.60316419
"553",-58.46415298,-34.60541774
"554",-58.46415302,-34.60767129
"555",-58.46415306,-34.60992485
"556",-58.4641531,-34.6121784
"559",-58.46415314,-34.61443195
"560",-58.46415318,-34.6166855
"561",-58.46415322,-34.61893905
"562",-58.46415326,-34.6211926
"563",-58.4641533,-34.62344615
"564",-58.46415333,-34.6256997
"565",-58.46415337,-34.62795324
"566",-58.46415342,-34.63020678
"567",-58.46415345,-34.63246033
"568",-58.46415349,-34.63471387
"570",-58.46415353,-34.63696742
"571",-58.46415357,-34.63922096
"572",-58.46415361,-34.6414745
"573",-58.46415365,-34.64372804
"574",-58.46415369,-34.64598158
"575",-58.46415373,-34.64823512
"576",-58.46415377,-34.65048865
"577",-58.46415381,-34.65274219
"578",-58.46415385,-34.65499573
"579",-58.46415388,-34.65724926
"581",-58.46415392,-34.6595028
"582",-58.46415396,-34.66175633
"583",-58.464154,-34.66400987
"584",-58.46415405,-34.6662634
"585",-58.46415408,-34.66851693
"586",-58.46415412,-34.67077046
"587",-58.46415416,-34.67302399
"588",-58.4641542,-34.67527752
"589",-58.46415424,-34.67753105
"590",-58.46415428,-34.67978457
"592",-58.46415432,-34.6820381
"593",-58.46415436,-34.68429162
"594",-58.4641544,-34.68654515
"595",-58.46415444,-34.68879867
"596",-58.46415448,-34.69105219
"597",-58.46415451,-34.69330571
"598",-58.46415455,-34.69555923
"599",-58.46415467,-34.70231979
"600",-58.46415471,-34.70457331
"601",-58.46179342,-34.53668396
"603",-58.4617934,-34.53893754
"604",-58.46179337,-34.54119111
"605",-58.46179335,-34.54344469
"606",-58.46179332,-34.54569827
"607",-58.4617933,-34.54795184
"608",-58.46179327,-34.55020542
"609",-58.46179325,-34.55245899
"610",-58.46179322,-34.55471256
"611",-58.4617932,-34.55696614
"612",-58.46179318,-34.55921971
"614",-58.46179315,-34.56147328
"615",-58.46179313,-34.56372685
"616",-58.4617931,-34.56598042
"617",-58.46179308,-34.56823399
"618",-58.46179305,-34.57048755
"619",-58.46179303,-34.57274112
"620",-58.46179301,-34.57499469
"621",-58.46179298,-34.57724825
"622",-58.46179296,-34.57950182
"623",-58.46179293,-34.58175538
"625",-58.4617929,-34.58400894
"626",-58.46179288,-34.58626251
"627",-58.46179286,-34.58851607
"628",-58.46179276,-34.5975303
"629",-58.46179273,-34.59978386
"630",-58.46179271,-34.60203741
"631",-58.46179269,-34.60429097
"632",-58.46179266,-34.60654452
"633",-58.46179264,-34.60879808
"634",-58.46179261,-34.61105163
"636",-58.46179259,-34.61330518
"637",-58.46179256,-34.61555873
"638",-58.46179254,-34.61781228
"639",-58.46179251,-34.62006583
"640",-58.46179249,-34.62231938
"641",-58.46179247,-34.62457292
"642",-58.46179244,-34.62682647
"643",-58.46179242,-34.62908002
"644",-58.46179239,-34.63133356
"645",-58.46179237,-34.63358711
"647",-58.46179235,-34.63584065
"648",-58.46179231,-34.63809419
"649",-58.46179229,-34.64034774
"650",-58.46179227,-34.64260128
"651",-58.46179224,-34.64485482
"652",-58.46179222,-34.64710836
"653",-58.4617922,-34.64936189
"654",-58.46179217,-34.65161543
"655",-58.46179214,-34.65386897
"656",-58.46179212,-34.6561225
"658",-58.4617921,-34.65837604
"659",-58.46179207,-34.66062957
"660",-58.46179205,-34.6628831
"661",-58.46179203,-34.66513663
